TP,SL,Winrate (%),TPrate (%),PNL
999999,-999999,52.01,NA,-137788.0
200.0,-700.0,64.29,69.25%,-95591.0
300.0,-700.0,57.54,61.43%,-112978.0
400.0,-700.0,51.61,52.78%,-141160.0
500.0,-700.0,48.23,45.87%,-150614.0
600.0,-700.0,46.23,38.3%,-162133.0
700.0,-700.0,44.7,31.09%,-174922.0
800.0,-700.0,43.42,22.47%,-192395.0
900.0,-700.0,43.18,17.35%,-196209.0
1000.0,-700.0,43.02,14.61%,-194813.0
200.0,-800.0,66.13,72.28%,-89782.0
300.0,-800.0,59.71,64.82%,-106763.0
400.0,-800.0,53.85,56.19%,-138615.0
500.0,-800.0,50.72,49.78%,-145456.0
600.0,-800.0,48.72,42.11%,-157504.0
700.0,-800.0,47.19,34.62%,-170469.0
800.0,-800.0,45.99,25.59%,-187242.0
900.0,-800.0,45.75,19.78%,-192456.0
1000.0,-800.0,45.51,16.69%,-192793.0
200.0,-900.0,68.14,75.44%,-78438.0
300.0,-900.0,61.72,68.27%,-94371.0
400.0,-900.0,56.02,59.98%,-122731.0
500.0,-900.0,53.05,53.79%,-126861.0
600.0,-900.0,51.04,46.2%,-139626.0
700.0,-900.0,49.44,38.46%,-152798.0
800.0,-900.0,48.23,28.85%,-170598.0
900.0,-900.0,47.91,22.36%,-177191.0
1000.0,-900.0,47.67,18.99%,-177512.0
200.0,-1000.0,69.74,78.46%,-62728.0
300.0,-1000.0,63.64,72.02%,-73396.0
400.0,-1000.0,58.27,64.19%,-99064.0
500.0,-1000.0,55.38,58.22%,-100702.0
600.0,-1000.0,53.29,50.62%,-114991.0
700.0,-1000.0,51.61,42.7%,-129838.0
800.0,-1000.0,50.4,32.68%,-148189.0
900.0,-1000.0,50.0,25.64%,-156942.0
1000.0,-1000.0,49.76,21.77%,-158090.0
200.0,-1100.0,70.22,79.92%,-63494.0
300.0,-1100.0,64.21,73.84%,-75365.0
400.0,-1100.0,58.99,66.33%,-101429.0
500.0,-1100.0,56.1,60.48%,-103372.0
600.0,-1100.0,54.01,52.95%,-118345.0
700.0,-1100.0,52.33,45.06%,-134318.0
800.0,-1100.0,50.96,34.58%,-157497.0
900.0,-1100.0,50.56,27.33%,-166250.0
1000.0,-1100.0,50.32,23.31%,-167398.0
200.0,-1200.0,70.79,82.13%,-58625.0
300.0,-1200.0,64.77,76.29%,-71513.0
400.0,-1200.0,59.71,69.54%,-93280.0
500.0,-1200.0,56.82,63.98%,-95395.0
600.0,-1200.0,54.74,56.64%,-109894.0
