TP,SL,Winrate (%),TPrate (%),PNL
999999,-999999,34.93,NA,-7095.0
0.0,-0.0,0.0,0.0%,-4769.0
100.0,-0.0,0.0,0.0%,-4769.0
200.0,-0.0,0.0,0.0%,-4769.0
300.0,-0.0,0.0,0.0%,-4769.0
400.0,-0.0,0.0,0.0%,-4769.0
500.0,-0.0,0.0,0.0%,-4769.0
600.0,-0.0,0.0,0.0%,-4769.0
700.0,-0.0,0.0,0.0%,-4769.0
800.0,-0.0,0.0,0.0%,-4769.0
900.0,-0.0,0.0,0.0%,-4769.0
1000.0,-0.0,0.0,0.0%,-4769.0
1100.0,-0.0,0.0,0.0%,-4769.0
1200.0,-0.0,0.0,0.0%,-4769.0
1300.0,-0.0,0.0,0.0%,-4769.0
1400.0,-0.0,0.0,0.0%,-4769.0
1500.0,-0.0,0.0,0.0%,-4769.0
1600.0,-0.0,0.0,0.0%,-4769.0
1700.0,-0.0,0.0,0.0%,-4769.0
1800.0,-0.0,0.0,0.0%,-4769.0
1900.0,-0.0,0.0,0.0%,-4769.0
2000.0,-0.0,0.0,0.0%,-4769.0
0.0,-100.0,97.26,97.26%,-1063.0
100.0,-100.0,40.41,41.84%,-3192.0
200.0,-100.0,30.82,31.91%,-1916.0
300.0,-100.0,22.6,20.59%,-2944.0
400.0,-100.0,17.81,14.93%,-3300.0
500.0,-100.0,16.44,12.78%,-3091.0
600.0,-100.0,15.75,12.03%,-2277.0
700.0,-100.0,15.75,8.59%,-2565.0
800.0,-100.0,15.07,6.35%,-2979.0
900.0,-100.0,14.38,4.07%,-4031.0
1000.0,-100.0,14.38,3.28%,-4389.0
1100.0,-100.0,14.38,3.28%,-3930.0
1200.0,-100.0,14.38,1.67%,-4770.0
1300.0,-100.0,14.38,1.67%,-4595.0
1400.0,-100.0,14.38,0.84%,-4926.0
1500.0,-100.0,14.38,0.84%,-4818.0
1600.0,-100.0,14.38,0.0%,-5146.0
1700.0,-100.0,14.38,0.0%,-5146.0
1800.0,-100.0,14.38,0.0%,-5146.0
1900.0,-100.0,14.38,0.0%,-5146.0
2000.0,-100.0,14.38,0.0%,-5146.0
0.0,-200.0,99.32,99.32%,-620.0
100.0,-200.0,54.11,58.52%,-4281.0
200.0,-200.0,44.52,48.87%,-2502.0
300.0,-200.0,32.88,33.06%,-5735.0
400.0,-200.0,27.4,27.12%,-5428.0
500.0,-200.0,24.66,23.01%,-5722.0
600.0,-200.0,23.29,20.91%,-5494.0
700.0,-200.0,22.6,15.38%,-6589.0
800.0,-200.0,21.92,10.2%,-7998.0
900.0,-200.0,21.23,6.38%,-9347.0
1000.0,-200.0,21.23,5.38%,-9404.0
1100.0,-200.0,21.23,5.38%,-8945.0
1200.0,-200.0,21.23,3.3%,-9785.0
1300.0,-200.0,21.23,3.3%,-9500.0
1400.0,-200.0,21.23,2.22%,-9735.0
1500.0,-200.0,21.23,2.22%,-9526.0
1600.0,-200.0,21.23,0.0%,-9901.0
1700.0,-200.0,21.23,0.0%,-9901.0
1800.0,-200.0,21.23,0.0%,-9901.0
1900.0,-200.0,21.23,0.0%,-9901.0
2000.0,-200.0,21.23,0.0%,-9901.0
0.0,-300.0,99.32,99.32%,-620.0
100.0,-300.0,63.7,69.17%,-3891.0
200.0,-300.0,52.74,58.46%,-3014.0
300.0,-300.0,41.1,43.7%,-6487.0
400.0,-300.0,35.62,38.18%,-5279.0
500.0,-300.0,32.88,33.65%,-5075.0
600.0,-300.0,31.51,29.59%,-5100.0
700.0,-300.0,30.82,23.33%,-5557.0
800.0,-300.0,30.14,16.87%,-7257.0
900.0,-300.0,29.45,11.54%,-8555.0
1000.0,-300.0,29.45,9.21%,-8891.0
1100.0,-300.0,29.45,9.21%,-8241.0
1200.0,-300.0,29.45,6.76%,-8918.0
1300.0,-300.0,29.45,5.48%,-9139.0
1400.0,-300.0,29.45,4.17%,-8937.0
1500.0,-300.0,29.45,4.17%,-8728.0
1600.0,-300.0,29.45,1.43%,-9103.0
1700.0,-300.0,29.45,1.43%,-9103.0
1800.0,-300.0,29.45,1.43%,-9065.0
1900.0,-300.0,29.45,1.43%,-8980.0
2000.0,-300.0,29.45,0.0%,-9386.0
0.0,-400.0,99.32,99.32%,-620.0
100.0,-400.0,69.18,82.64%,-2485.0
200.0,-400.0,58.9,74.56%,-870.0
300.0,-400.0,47.26,62.24%,-4032.0
400.0,-400.0,40.41,55.29%,-3541.0
500.0,-400.0,37.67,50.63%,-3051.0
600.0,-400.0,36.3,46.58%,-2552.0
700.0,-400.0,35.62,40.0%,-2669.0
800.0,-400.0,34.93,31.58%,-4154.0
900.0,-400.0,34.25,25.0%,-5086.0
1000.0,-400.0,34.25,18.75%,-6355.0
1100.0,-400.0,34.25,18.75%,-5495.0
1200.0,-400.0,34.25,13.33%,-6477.0
1300.0,-400.0,34.25,9.3%,-6776.0
1400.0,-400.0,34.25,7.14%,-6574.0
1500.0,-400.0,34.25,7.14%,-6365.0
1600.0,-400.0,34.25,2.5%,-6740.0
1700.0,-400.0,34.25,2.5%,-6740.0
1800.0,-400.0,34.25,2.5%,-6702.0
1900.0,-400.0,34.25,2.5%,-6617.0
2000.0,-400.0,34.25,0.0%,-7023.0
0.0,-500.0,99.32,99.32%,-620.0
100.0,-500.0,70.55,90.27%,-1746.0
200.0,-500.0,60.27,85.29%,-198.0
300.0,-500.0,48.63,76.83%,-3139.0
400.0,-500.0,41.78,72.06%,-2403.0
500.0,-500.0,39.04,68.85%,-1705.0
600.0,-500.0,37.67,65.45%,-922.0
700.0,-500.0,36.99,59.57%,-958.0
800.0,-500.0,35.62,50.0%,-2925.0
900.0,-500.0,34.93,42.42%,-3857.0
1000.0,-500.0,34.93,34.48%,-5011.0
1100.0,-500.0,34.93,34.48%,-3824.0
1200.0,-500.0,34.93,26.92%,-4806.0
1300.0,-500.0,34.93,20.83%,-5105.0
1400.0,-500.0,34.93,17.39%,-4861.0
1500.0,-500.0,34.93,17.39%,-4281.0
1600.0,-500.0,34.93,9.52%,-4656.0
1700.0,-500.0,34.93,9.52%,-4656.0
1800.0,-500.0,34.93,9.52%,-4618.0
1900.0,-500.0,34.93,5.0%,-5882.0
2000.0,-500.0,34.93,0.0%,-6288.0
0.0,-600.0,99.32,99.32%,-620.0
100.0,-600.0,70.55,94.44%,-1304.0
200.0,-600.0,60.96,92.63%,926.0
300.0,-600.0,48.63,87.5%,-2935.0
400.0,-600.0,41.78,84.48%,-2199.0
500.0,-600.0,39.04,82.35%,-1501.0
600.0,-600.0,37.67,80.0%,-718.0
700.0,-600.0,36.99,75.68%,-754.0
800.0,-600.0,35.62,67.86%,-2721.0
900.0,-600.0,34.93,60.87%,-3653.0
1000.0,-600.0,34.93,52.63%,-4807.0
1100.0,-600.0,34.93,52.63%,-3620.0
1200.0,-600.0,34.93,43.75%,-4602.0
1300.0,-600.0,34.93,35.71%,-4901.0
1400.0,-600.0,34.93,30.77%,-4657.0
1500.0,-600.0,34.93,30.77%,-4077.0
1600.0,-600.0,34.93,18.18%,-4452.0
1700.0,-600.0,34.93,18.18%,-4452.0
1800.0,-600.0,34.93,18.18%,-4414.0
1900.0,-600.0,34.93,10.0%,-5678.0
2000.0,-600.0,34.93,0.0%,-6084.0
0.0,-700.0,100.0,100.0%,0.0
100.0,-700.0,70.55,96.23%,-1691.0
200.0,-700.0,60.96,95.65%,482.0
300.0,-700.0,48.63,92.65%,-3447.0
400.0,-700.0,41.78,90.74%,-2711.0
500.0,-700.0,39.04,89.36%,-2013.0
