TP,SL,Winrate (%),TPrate (%),PNL
999999,-999999,52.01,NA,-137788.0
0.0,-0.0,0.0,0.0%,-171350.0
100.0,-0.0,0.0,0.0%,-171350.0
200.0,-0.0,0.0,0.0%,-171350.0
300.0,-0.0,0.0,0.0%,-171350.0
400.0,-0.0,0.0,0.0%,-171350.0
500.0,-0.0,0.0,0.0%,-171350.0
600.0,-0.0,0.0,0.0%,-171350.0
700.0,-0.0,0.0,0.0%,-171350.0
800.0,-0.0,0.0,0.0%,-171350.0
900.0,-0.0,0.0,0.0%,-171350.0
1000.0,-0.0,0.0,0.0%,-171350.0
1100.0,-0.0,0.0,0.0%,-171350.0
1200.0,-0.0,0.0,0.0%,-171350.0
1300.0,-0.0,0.0,0.0%,-171350.0
1400.0,-0.0,0.0,0.0%,-171350.0
1500.0,-0.0,0.0,0.0%,-171350.0
1600.0,-0.0,0.0,0.0%,-171350.0
1700.0,-0.0,0.0,0.0%,-171350.0
1800.0,-0.0,0.0,0.0%,-171350.0
1900.0,-0.0,0.0,0.0%,-171350.0
2000.0,-0.0,0.0,0.0%,-171350.0
0.0,-100.0,53.93,53.93%,-132462.0
100.0,-100.0,17.9,18.07%,-163920.0
200.0,-100.0,11.72,11.72%,-171815.0
300.0,-100.0,9.47,9.26%,-171753.0
400.0,-100.0,7.3,6.41%,-177121.0
500.0,-100.0,6.02,4.52%,-181712.0
600.0,-100.0,5.54,3.45%,-183048.0
700.0,-100.0,5.46,2.3%,-182691.0
800.0,-100.0,5.46,1.71%,-181781.0
900.0,-100.0,5.3,1.12%,-183224.0
1000.0,-100.0,5.3,0.86%,-182820.0
1100.0,-100.0,5.22,0.35%,-185045.0
1200.0,-100.0,5.22,0.26%,-184978.0
1300.0,-100.0,5.22,0.17%,-185069.0
1400.0,-100.0,5.22,0.17%,-184906.0
1500.0,-100.0,5.22,0.17%,-184737.0
1600.0,-100.0,5.22,0.09%,-185750.0
1700.0,-100.0,5.22,0.09%,-185679.0
1800.0,-100.0,5.22,0.09%,-185568.0
1900.0,-100.0,5.22,0.0%,-185530.0
2000.0,-100.0,5.22,0.0%,-185530.0
0.0,-200.0,84.35,84.35%,-79079.0
100.0,-200.0,40.29,41.89%,-132453.0
200.0,-200.0,31.22,32.17%,-139961.0
300.0,-200.0,26.0,26.32%,-142824.0
400.0,-200.0,21.19,19.9%,-156889.0
500.0,-200.0,18.38,15.38%,-165429.0
600.0,-200.0,16.85,11.6%,-171839.0
700.0,-200.0,16.21,8.48%,-171895.0
800.0,-200.0,15.89,5.74%,-172821.0
900.0,-200.0,15.57,3.79%,-177615.0
1000.0,-200.0,15.49,2.85%,-178076.0
1100.0,-200.0,15.41,1.49%,-181325.0
1200.0,-200.0,15.41,1.39%,-180635.0
1300.0,-200.0,15.41,1.0%,-181298.0
1400.0,-200.0,15.41,0.9%,-181311.0
1500.0,-200.0,15.41,0.9%,-180895.0
1600.0,-200.0,15.41,0.7%,-182167.0
1700.0,-200.0,15.41,0.6%,-181879.0
1800.0,-200.0,15.41,0.6%,-180963.0
1900.0,-200.0,15.41,0.5%,-180925.0
2000.0,-200.0,15.41,0.3%,-182505.0
0.0,-300.0,92.46,92.46%,-54454.0
100.0,-300.0,52.89,55.51%,-113483.0
200.0,-300.0,42.3,44.08%,-129313.0
300.0,-300.0,37.08,38.17%,-126502.0
400.0,-300.0,32.1,31.02%,-135911.0
500.0,-300.0,28.97,25.37%,-141994.0
600.0,-300.0,27.05,20.06%,-152414.0
700.0,-300.0,26.08,15.87%,-152560.0
800.0,-300.0,25.28,11.0%,-159728.0
900.0,-300.0,24.96,7.91%,-164795.0
1000.0,-300.0,24.88,6.1%,-164946.0
1100.0,-300.0,24.8,4.0%,-167795.0
1200.0,-300.0,24.64,3.24%,-169395.0
1300.0,-300.0,24.64,2.48%,-169986.0
1400.0,-300.0,24.64,1.93%,-170641.0
1500.0,-300.0,24.64,1.59%,-171648.0
1600.0,-300.0,24.64,1.26%,-173005.0
1700.0,-300.0,24.64,1.14%,-172424.0
1800.0,-300.0,24.56,1.03%,-173770.0
1900.0,-300.0,24.56,0.8%,-174232.0
2000.0,-300.0,24.56,0.57%,-175812.0
0.0,-400.0,95.67,95.67%,-40705.0
100.0,-400.0,61.56,64.95%,-96208.0
200.0,-400.0,51.2,53.77%,-115463.0
300.0,-400.0,45.1,46.8%,-115697.0
400.0,-400.0,39.0,38.24%,-139182.0
500.0,-400.0,35.47,31.76%,-150203.0
600.0,-400.0,33.39,25.25%,-162080.0
700.0,-400.0,32.58,20.44%,-160356.0
800.0,-400.0,31.7,14.43%,-168994.0
900.0,-400.0,31.38,11.01%,-173803.0
1000.0,-400.0,31.22,8.99%,-173814.0
1100.0,-400.0,31.14,6.44%,-175624.0
1200.0,-400.0,31.06,4.81%,-179110.0
1300.0,-400.0,31.06,3.62%,-180723.0
1400.0,-400.0,31.06,2.77%,-182258.0
1500.0,-400.0,31.06,2.28%,-182916.0
1600.0,-400.0,31.06,1.91%,-184169.0
1700.0,-400.0,31.06,1.53%,-184872.0
1800.0,-400.0,30.98,1.28%,-186613.0
1900.0,-400.0,30.98,1.03%,-186936.0
2000.0,-400.0,30.98,0.77%,-188466.0
0.0,-500.0,96.95,96.95%,-33607.0
100.0,-500.0,66.29,70.25%,-87424.0
200.0,-500.0,56.02,59.23%,-111608.0
300.0,-500.0,50.16,52.39%,-110761.0
400.0,-500.0,44.38,44.04%,-132142.0
500.0,-500.0,41.09,37.44%,-139871.0
600.0,-500.0,39.0,30.45%,-151807.0
700.0,-500.0,37.56,24.42%,-158990.0
800.0,-500.0,36.6,17.38%,-168670.0
900.0,-500.0,36.12,13.18%,-175281.0
1000.0,-500.0,35.96,10.84%,-175683.0
1100.0,-500.0,35.87,8.14%,-176937.0
1200.0,-500.0,35.71,6.16%,-181869.0
1300.0,-500.0,35.63,4.75%,-185121.0
1400.0,-500.0,35.55,3.7%,-188145.0
1500.0,-500.0,35.55,3.17%,-188803.0
1600.0,-500.0,35.55,2.77%,-189944.0
1700.0,-500.0,35.47,1.95%,-193373.0
1800.0,-500.0,35.39,1.54%,-196237.0
1900.0,-500.0,35.39,1.12%,-197369.0
2000.0,-500.0,35.39,0.85%,-198899.0
0.0,-600.0,97.83,97.83%,-27621.0
100.0,-600.0,69.18,73.73%,-89983.0
200.0,-600.0,59.71,63.68%,-114088.0
300.0,-600.0,53.77,56.69%,-117135.0
400.0,-600.0,48.07,48.44%,-138971.0
500.0,-600.0,44.78,41.55%,-148454.0
600.0,-600.0,42.7,34.1%,-160145.0
700.0,-600.0,41.25,27.4%,-170246.0
800.0,-600.0,40.37,19.9%,-179689.0
900.0,-600.0,40.13,15.23%,-183499.0
1000.0,-600.0,39.97,12.74%,-183144.0
1100.0,-600.0,39.97,9.74%,-183226.0
1200.0,-600.0,39.81,7.34%,-189039.0
1300.0,-600.0,39.73,5.67%,-192014.0
1400.0,-600.0,39.65,4.52%,-195087.0
1500.0,-600.0,39.65,3.8%,-195754.0
1600.0,-600.0,39.65,3.36%,-196895.0
1700.0,-600.0,39.57,2.47%,-200324.0
1800.0,-600.0,39.49,2.01%,-203188.0
1900.0,-600.0,39.49,1.4%,-205476.0
2000.0,-600.0,39.49,0.94%,-207653.0
0.0,-700.0,98.31,98.31%,-23730.0
100.0,-700.0,72.63,77.89%,-78975.0
200.0,-700.0,64.29,69.25%,-95591.0
300.0,-700.0,57.54,61.43%,-112978.0
400.0,-700.0,51.61,52.78%,-141160.0
500.0,-700.0,48.23,45.87%,-150614.0
600.0,-700.0,46.23,38.3%,-162133.0
700.0,-700.0,44.7,31.09%,-174922.0
800.0,-700.0,43.42,22.47%,-192395.0
900.0,-700.0,43.18,17.35%,-196209.0
1000.0,-700.0,43.02,14.61%,-194813.0
1100.0,-700.0,43.02,11.27%,-195386.0
1200.0,-700.0,42.86,8.39%,-201628.0
1300.0,-700.0,42.78,6.58%,-204058.0
1400.0,-700.0,42.7,5.02%,-207291.0
1500.0,-700.0,42.7,4.22%,-207958.0
1600.0,-700.0,42.7,3.73%,-209099.0
1700.0,-700.0,42.62,2.74%,-212528.0
1800.0,-700.0,42.54,2.23%,-215508.0
1900.0,-700.0,42.54,1.56%,-217796.0
2000.0,-700.0,42.54,1.04%,-219973.0
0.0,-800.0,98.72,98.72%,-19976.0
100.0,-800.0,74.32,80.28%,-74791.0
200.0,-800.0,66.13,72.28%,-89782.0
300.0,-800.0,59.71,64.82%,-106763.0
400.0,-800.0,53.85,56.19%,-138615.0
500.0,-800.0,50.72,49.78%,-145456.0
600.0,-800.0,48.72,42.11%,-157504.0
700.0,-800.0,47.19,34.62%,-170469.0
800.0,-800.0,45.99,25.59%,-187242.0
900.0,-800.0,45.75,19.78%,-192456.0
1000.0,-800.0,45.51,16.69%,-192793.0
1100.0,-800.0,45.51,12.95%,-193577.0
1200.0,-800.0,45.35,9.84%,-199677.0
1300.0,-800.0,45.18,7.69%,-203795.0
1400.0,-800.0,45.1,5.79%,-207368.0
