Trade #,Type,Signal,Date/Time,Price PLN,Contracts,Profit PLN,Profit %,Cum. Profit PLN,Cum. Profit %,Run-up PLN,Run-up %,Drawdown PLN,Drawdown %
1259,Exit Long,Open,,,,,,,,,,,
1259,Entry Long,Long,2024-12-20 23:00,4.08600,,,,,,,,,
1258,Exit Short,Close entry(s) order Short,2024-12-20 22:30,4.08200,1,0.001,0.02,6.40,0.00,0.003,0.07,0,0.00
1258,Entry Short,Short,2024-12-20 21:00,4.08300,1,0.001,0.02,6.40,0.00,0.003,0.07,0,0.00
1257,Exit Short,Close entry(s) order Short,2024-12-20 19:30,4.08700,1,0.01,0.32,6.40,0.00,0.02,0.37,0,0.00
1257,Entry Short,Short,2024-12-20 18:00,4.10000,1,0.01,0.32,6.40,0.00,0.02,0.37,0,0.00
1256,Exit Long,Close entry(s) order Long,2024-12-20 18:00,4.10100,1,0.001,0.02,6.39,0.00,0.01,0.13,0,0.00
1256,Entry Long,Long,2024-12-20 16:00,4.10000,1,0.001,0.02,6.39,0.00,0.01,0.13,0,0.00
1255,Exit Short,Close entry(s) order Short,2024-12-20 16:00,4.09700,1,-0.001,-0.02,6.39,0.00,0.002,0.05,0.001,0.02
1255,Entry Short,Short,2024-12-20 15:30,4.09600,1,-0.001,-0.02,6.39,0.00,0.002,0.05,0.001,0.02
1254,Exit Short,Close entry(s) order Short,2024-12-20 11:00,4.09800,1,0.01,0.19,6.39,0.00,0.01,0.27,0,0.00
1254,Entry Short,Short,2024-12-20 08:30,4.10600,1,0.01,0.19,6.39,0.00,0.01,0.27,0,0.00
1253,Exit Long,Close entry(s) order Long,2024-12-20 07:30,4.10800,1,-0.001,-0.02,6.38,0.00,0.001,0.02,0.002,0.05
1253,Entry Long,Long,2024-12-20 06:30,4.10900,1,-0.001,-0.02,6.38,0.00,0.001,0.02,0.002,0.05
1252,Exit Long,Close entry(s) order Long,2024-12-19 19:00,4.10700,1,0.02,0.42,6.38,0.00,0.02,0.46,0.001,0.02
1252,Entry Long,Long,2024-12-19 16:00,4.09000,1,0.02,0.42,6.38,0.00,0.02,0.46,0.001,0.02
1251,Exit Short,Close entry(s) order Short,2024-12-19 15:30,4.08600,1,-0.001,-0.02,6.36,0.00,0.001,0.02,0.001,0.02
1251,Entry Short,Short,2024-12-19 15:00,4.08500,1,-0.001,-0.02,6.36,0.00,0.001,0.02,0.001,0.02
1250,Exit Short,Close entry(s) order Short,2024-12-19 14:30,4.08800,1,0.005,0.12,6.36,0.00,0.01,0.17,0,0.00
1250,Entry Short,Short,2024-12-19 13:00,4.09300,1,0.005,0.12,6.36,0.00,0.01,0.17,0,0.00
1249,Exit Short,Close entry(s) order Short,2024-12-19 12:00,4.09500,1,0,0.00,6.36,0.00,0.002,0.05,0,0.00
1249,Entry Short,Short,2024-12-19 10:30,4.09500,1,0,0.00,6.36,0.00,0.002,0.05,0,0.00
1248,Exit Short,Close entry(s) order Short,2024-12-19 09:30,4.09900,1,0.02,0.49,6.36,0.00,0.02,0.53,0,0.00
1248,Entry Short,Short,2024-12-19 02:00,4.11900,1,0.02,0.49,6.36,0.00,0.02,0.53,0,0.00
1247,Exit Long,Close entry(s) order Long,2024-12-19 02:00,4.12100,1,0.05,1.25,6.34,0.00,0.05,1.32,0,0.00
1247,Entry Long,Long,2024-12-18 21:00,4.07000,1,0.05,1.25,6.34,0.00,0.05,1.32,0,0.00
1246,Exit Short,Long,2024-12-18 21:00,4.07000,1,-0.002,-0.05,6.29,0.00,0.003,0.07,0.002,0.05
1246,Entry Short,Short,2024-12-18 20:00,4.06800,1,-0.002,-0.05,6.29,0.00,0.003,0.07,0.002,0.05
1245,Exit Long,Close entry(s) order Long,2024-12-18 20:00,4.07100,1,0.005,0.12,6.29,0.00,0.01,0.20,0,0.00
1245,Entry Long,Long,2024-12-18 17:30,4.06600,1,0.005,0.12,6.29,0.00,0.01,0.20,0,0.00
1244,Exit Long,Close entry(s) order Long,2024-12-18 17:30,4.06500,1,0.002,0.05,6.29,0.00,0.005,0.12,0,0.00
1244,Entry Long,Long,2024-12-18 16:00,4.06300,1,0.002,0.05,6.29,0.00,0.005,0.12,0,0.00
1243,Exit Short,Close entry(s) order Short,2024-12-18 15:00,4.05900,1,0.003,0.07,6.28,0.00,0.01,0.16,0,0.00
1243,Entry Short,Short,2024-12-18 12:30,4.06200,1,0.003,0.07,6.28,0.00,0.01,0.16,0,0.00
1242,Exit Short,Close entry(s) order Short,2024-12-18 12:00,4.06300,1,0.001,0.02,6.28,0.00,0.003,0.08,0,0.00
1242,Entry Short,Short,2024-12-18 10:00,4.06400,1,0.001,0.02,6.28,0.00,0.003,0.08,0,0.00
1241,Exit Long,Short,2024-12-18 10:00,4.06400,1,-0.002,-0.05,6.28,0.00,0,0.00,0.002,0.05
1241,Entry Long,Long,2024-12-18 10:00,4.06600,1,-0.002,-0.05,6.28,0.00,0,0.00,0.002,0.05
1240,Exit Short,Close entry(s) order Short,2024-12-18 09:30,4.06500,1,0.002,0.05,6.28,0.00,0.01,0.15,0.001,0.01
1240,Entry Short,Short,2024-12-18 02:00,4.06700,1,0.002,0.05,6.28,0.00,0.01,0.15,0.001,0.01
1239,Exit Long,Close entry(s) order Long,2024-12-17 23:30,4.07000,1,0.01,0.20,6.28,0.00,0.01,0.27,0.001,0.02
1239,Entry Long,Long,2024-12-17 17:30,4.06200,1,0.01,0.20,6.28,0.00,0.01,0.27,0.001,0.02
1238,Exit Short,Long,2024-12-17 17:30,4.06200,1,-0.003,-0.07,6.27,0.00,0.002,0.05,0.003,0.07
1238,Entry Short,Short,2024-12-17 15:30,4.05900,1,-0.003,-0.07,6.27,0.00,0.002,0.05,0.003,0.07
1237,Exit Long,Close entry(s) order Long,2024-12-17 14:30,4.06400,1,0.01,0.37,6.27,0.00,0.02,0.42,0,0.00
1237,Entry Long,Long,2024-12-17 06:30,4.04900,1,0.01,0.37,6.27,0.00,0.02,0.42,0,0.00
1236,Exit Short,Close entry(s) order Short,2024-12-17 05:30,4.04600,1,0,0.00,6.26,0.00,0.003,0.06,0,0.00
1236,Entry Short,Short,2024-12-17 02:30,4.04600,1,0,0.00,6.26,0.00,0.003,0.06,0,0.00
1235,Exit Short,Close entry(s) order Short,2024-12-16 22:30,4.05000,1,-0.001,-0.02,6.26,0.00,0,0.00,0.001,0.02
1235,Entry Short,Short,2024-12-16 21:30,4.04900,1,-0.001,-0.02,6.26,0.00,0,0.00,0.001,0.02
1234,Exit Short,Close entry(s) order Short,2024-12-16 20:30,4.05000,1,0.01,0.25,6.26,0.00,0.01,0.30,0,0.00
1234,Entry Short,Short,2024-12-16 17:00,4.06000,1,0.01,0.25,6.26,0.00,0.01,0.30,0,0.00
1233,Exit Long,Close entry(s) order Long,2024-12-16 17:00,4.06300,1,0,0.00,6.25,0.00,0.003,0.07,0,0.00
1233,Entry Long,Long,2024-12-16 16:30,4.06300,1,0,0.00,6.25,0.00,0.003,0.07,0,0.00
1232,Exit Long,Close entry(s) order Long,2024-12-16 15:00,4.06300,1,0.01,0.25,6.25,0.00,0.01,0.30,0,0.00
1232,Entry Long,Long,2024-12-16 09:30,4.05300,1,0.01,0.25,6.25,0.00,0.01,0.30,0,0.00
1231,Exit Short,Close entry(s) order Short,2024-12-16 09:30,4.05200,1,-0.001,-0.02,6.24,0.00,0,0.00,0.001,0.02
1231,Entry Short,Short,2024-12-16 09:30,4.05100,1,-0.001,-0.02,6.24,0.00,0,0.00,0.001,0.02
1230,Exit Short,Close entry(s) order Short,2024-12-16 05:00,4.05400,1,0.01,0.15,6.24,0.00,0.01,0.22,0,0.00
1230,Entry Short,Short,2024-12-16 01:00,4.06000,1,0.01,0.15,6.24,0.00,0.01,0.22,0,0.00
1229,Exit Long,Close entry(s) order Long,2024-12-16 01:00,4.06100,1,0,0.00,6.24,0.00,0.01,0.12,0,0.00
1229,Entry Long,Long,2024-12-16 00:00,4.06100,1,0,0.00,6.24,0.00,0.01,0.12,0,0.00
1228,Exit Short,Long,2024-12-16 00:00,4.06100,1,0.002,0.05,6.24,0.00,0.005,0.12,0,0.00
1228,Entry Short,Short,2024-12-13 18:30,4.06300,1,0.002,0.05,6.24,0.00,0.005,0.12,0,0.00
1227,Exit Long,Short,2024-12-13 18:30,4.06300,1,-0.002,-0.05,6.23,0.00,0.003,0.07,0.002,0.05
1227,Entry Long,Long,2024-12-13 16:00,4.06500,1,-0.002,-0.05,6.23,0.00,0.003,0.07,0.002,0.05
1226,Exit Short,Close entry(s) order Short,2024-12-13 16:00,4.05900,1,0.03,0.66,6.24,0.00,0.03,0.71,0,0.00
1226,Entry Short,Short,2024-12-13 10:00,4.08600,1,0.03,0.66,6.24,0.00,0.03,0.71,0,0.00
1225,Exit Long,Close entry(s) order Long,2024-12-13 08:30,4.08800,1,-0.001,-0.02,6.21,0.00,0,0.00,0.001,0.02
1225,Entry Long,Long,2024-12-13 08:30,4.08900,1,-0.001,-0.02,6.21,0.00,0,0.00,0.001,0.02
